Tweet		Sarcasm
@PatriotsXtra So, TO, Asomugha, Favre, Tebow?		1
“@HuffingtonPost: A clever photography project takes on fad diets  Your telling me they don't work!		1
@ShenCrew -master, thanks so much! It's an honor. Don't think I don't know where you live...		1
@BrianFaughnan @exjon Because Speaker Boehner and Maj Leader McConnell really run the country.		1
@JoannaZanella Beautiful photo Joanna		0
@danteeeeezy thank u Danteezy youda man 😎		0
@jasminefauni pfffft jasmine, you're way too sweet :$ I don't think so😂		0
@Rand_Getlin @CecilHurt @DavidMulugheta @AthletesFirst wonder if @ESPN announcers failure to get his name right influenced decision		1
@GordonEdes Boston press would never do that.		1
@kssngthelipless We got you.		0
@Lexieeee16 I totally envy you!		1
@Big_Sal18 @2Parkerlucas it was a bit of a joke. Santa does a ton I know		1
@mehdirhasan @leftferret Cameron says he'd have sacked Thornberry. Yeah because he's known for sacking his errant ministers.		1
@GabbyJayy97 awk moment when you're not that gabby I'm talking about..		0
@efedrankings Use ask.fm		1
@ChrisBokros @AshleyLaur it kinda reminds me of intuition. She's making fun of the music industry. Let's all call her a sellout.		1
.@dastorah @pdberger @powellnyt @francesRobles Yes. I am Kellner, Elvis, Anastasia, &amp; Deep Throat. Next question?...		1
@MisfitsTamara nope, I have no idea ha. Are you being vague because you don't want to spoil me or?		0
@atmpoker yeah I mean who couldn't get an all star vote in 11at bats?! He's terrible.		1
@thatbrendon @CityofMilwaukee @Uber_MKE A Trolley makes more sense		1
@WSJ Yes, everything in the world should be regulated. Including the regulations. And the regulators who regulate the regulations.		1
@monochromatiCaI I was just listening to the videos I took		0
@OrionTheButt I know....		1
@ScottyGKFAN I say yes. If he wants to play. But I won't let him drive when he turns 16, he could die in an accident.		1
@eye4style @adage @betaworks well, phones are used in single user mode; i doubt if toilets are ;)		1
@gibbongobbin lmfao nice.		0
@BK432 Huh, I’m surprised you like him.		1
"@LIVESTRONG_COM: Junk food prices have dropped, but fruit and veggie prices have gone up 		1
@Buzzo1947 walk the rest of the way then. You've been going gym, it should be easy for ya ;-)		1
@Ravzat2 hahhaha it's just green tea. I'm just so SO ecstatic to start school tomorrow!		1
@cheekybenjamino yeah it's like choose your battles it's not like you shot her		0
@ii_Loveyou_x @CSRytonNufc Wow, you are nice. Did you study at Cambridge or Harvard?		1
@TeeShawtzz Loool I just woke up too, It's still afternoon though. Hahaha low me man, exposing me on here🙈 Times only a factor👌		0
@VanessaSciulli thanks girlfriend 🎉		0
@DJLooneTim @IanPattersonMU @AdamMcKola @JonathanShrager nope, priority for those seats will be given to the ppl who took part in trials		0
@sportsyelling you should also be barefoot and let ur husband drive in bad weather		1
@HazmatHype I wore sleeves on Monday at rehearsal sir...		0
@GailinVA Oh no! Hope it's not serious. :-(		0
@thehistorytwins @YoorWullie @StokerDean @FewArePict @Mark_Leggatt 46% of 4 peeps means someone has to make sacrifices.......		0
@SeanCorcoran98 @Michael_W1997 well between Kilduff and Shepp they got about 12 between them this year 😂😂		0
@iamchrisholden @panther_pat @NotTimSheens quality signings there		1
@KatiePavlich If only there were more background checks to prevent criminals from getting guns.		1
@ShannonBream The unfortuneate fact is they didn't stop the SOB		1
@MPeRRY_4 Y'all gone have to slide down on me bro ..		0
@ChristiBrigman no way.....		1
@shyviolet71 And... this may happen with every one of their songs. All of them. Ever. *hangs head in shame* I'M IN DENIAL.		0
“@JesselynCO_E: After all is said and done, a lot more will be said than done.”		0
@patdwyer4 Sure! And while we're at it, how about all the pimps, prostitutes, murderers, and rapists? Let's all get mugged! +{:]8^)		1
@tullylawfirm have you not seen the signing of Ibanez		1
@FoxNews Now why on earth would we want to make our schools safer?		1
@Crewof42 @sherylkaye @billclinton @Slate I guess only people who tweet immediately aren't racist.		1
@His__Airness23 both are amazing. But start Sons of Anarchy first because the new season starts before GoT so you have less time to watch it		0
@Loufation @BarackObama @UN agree... they're one of the "good guys" ::cough:: with WMDs.		1
@ubuntuaddicted @theatomicass b/c you cant edit concurrently on dropbox which will lead a to a big headache		0
@MiriamGodwin been there, done that. Fun times😁!		0
@JackDail i like food		0
@WillNoel Congratulations Will! You're a Champion whatever scars you show up with :-)		0
@LollerskatesLex OMG. ITS OFFICIAL. THATS THE NEXT ALBUM IM BUYING. literally just for that one photocard.		0
@_kdwhite it's cause you have no heart		0
@ElishaNEWS The problem your seeing is "Just a bump in the road", and, by the way, "at this point, what difference does it make?"		1
@Female_Doctor_ @TheDoctorWhoBar @ashmmmac @bbcdoctorwho @DrWhoOnline Discovered later on that that poster is a fake. :-(		0
@grayson_green8 no way haha, I knew you weren't a senior but I mean you can still go to prom though		0
@codedungeon umm of course I didn’t get the 5S for that one feature		1
@hemmons oh. That's fun.		1
@aryana_denise lol they look them despicable me characters .		0
@ERGoddessMD Have a red for me please! LOL		0
“@86GTBurr: @mhcate @KatiePavlich Isn't Syria a voice on a smartphone? :-) Oh wait, she wouldn't make a fool of us!!!”2hrs early		1
@ChrisCuomo The NFL may just be the greatest criminal rehabilitation / re-entry program in the world.		1
@jeff_gluck @austindillon3 his grandpa?		1
@morgey_poo1650 Woot Woot.		0
@RealJamesWoods Unless they are dead &amp; then the 2 vote restriction is removed		1
@anthonycockayne @kirkyboy79 yeh billy was playing him out of position ;-)		1
@Sugga_cane Can't 😒 . But you got coach p number ?		0
@RonTerrell Check out this scene outside before the snow came: 		1
@Huchay_ they should kill all the executives! All of 'em! They be getting married and some people be dying! That's so horrible		0
@JoshPlendl maybe you will grant me an autograph next time I see you !!		1
@GrantRB I like to hope that everyone will mature as we get older. Probably won't though x		0
@ucs_dave Well isn’t that considerate of them…ugh		1
@Liversedge_FC @mrjerrytheberry looked a carpet today		1
@ViroBarbieri comedic genius.		1
@AustinSpencer4 Nah dude, NH riding is where it's at...		1
@cravinravenn @Nina_Shereen his dream is bigger and better than mlk		0
@Habarnac That's it...we're never sending Price to the Olympics again !!		1
@MikeZganjar you better be.		1
@romanograham_ Nope,our cup final has been moved to may 2nd so I can go now😌		0
@ItAint_Nunn I ain't try too lol		0
@peckham_cody literally some shit you would say 😂		0
@steve0423 no he wouldn't LIE to the American people		1
@BrilliantFooty @EPLStatman tevez loyal to the core that one		1
“@FunnyVines: The difference between black and white people 😂  @Slickickmax so how do u react?		1
@alyssameo I missed you!		0
“@Lex_Lug: @mylesisreal_ you get the xbox 1?”we haven't opened anything yet. lol		0
@lyssa_unicorn damn sa, you're gonna fuck shit up		0
@13applj @therealKGC @tomtomGrothause pretty sure it landed in the dudes yard who complains about our radio being loud.		1
@RedIteza *lips pursed, silenced the moment he hears his captain's words* Alright… But that wasn't really helpful. *sighs, deeming that his-		0
@HunterMahan yet tiger has numerous people move a boulder and that's ok. Sounds like 2sets of rules: tigers &amp; everyone else's		0
@GabeDiBiase look at the blood moon nigga		0
@aj_in_dis_bih Man you ain't about to make me gay lol		0
@hall4ashift Need your help?! Do you even know what a hammer looks like???		1
@ganishafatania Love ya &lt;3		0
@tha_collin2 pretty bad song		1
@SHoenle @McCarmee @AcademicaTopTen let's have universities where no one teaches, no one researches, but students PAY		1
@harrypurplmonky @TopOWG Thanks Harry! I had so much fun! Still worn out though!		0
@Mhiz_Hottitude sowi bout daht dear		0
@Brendan_Tobin you really want to be about that life?		0
@5oundoff reverse racism is discrimination against the dominant race in society (white man)		0
@brentalfloss Say something nice about Hitler. I think that might do it.		0
@olliexcore I'm all about the existential crises at the moment		0
@Joseph_OBrien but - Michael Douglas and Paul Rudd!! It's a guaranteed home run!!		1
@DanCarr_ better late than never, and it only took them 6 years. It's not like it was a long time.		1
@OGGhett0 and the yuppies fawn. I'll actually buy organic food but an organic mattress? Well only if it was ethically treated		1
@laurenobern what happend? Are you ok? :/		0
@MyDesireIs_ @mistrollingin @Chris78901 @tom_simo09 ermmmmm no differing opinions allowed		1
@jemelehill @ESPN_Numbers stirring the pot for personal agenda. Nicely done		1
@Shark_Four yeah, Mizzou hasn't played anyone		1
@Boglawyer .. for which I'm sure his colleagues are very grateful:)		0
After so many years of lying to us about your license, bitch! @Fcklexx		0
@InconsolableOne - He read as he held the newspaper in a posh manner, only using two fingers on each hand. Then he replied to his slightly-		0
@lexienoelle lol sorry for you inconvenience...		1
@ubuntuaddicted @Twitch Watching The Evil Within on Twitch and you mustn't have checked the notes since yesterday b/c ive added 2 it. :P		0
@mikepfingston2 Nope... you might hurt some dipshits feelings. We can't have that now can we?		1
@em_katy this country for sure deserves better looking ghosts.		1
@Eley_Katt @Cookie591980 Well, that's new. He's not even tagged in this conversation. Thank you ever so much Twitter.		1
@AmidPrivilege @peoniestweets globally, it's hard to make a case for more than 2 bio kids. our species shouldn't be expanding.		0
@brewersromford thanks for getting back to me regarding our issue... Back in July!!!		1
@beck1sm we are all different x		0
@NatbyNature you're looking amazing...beach goers are gonna be drooling!		0
@Ebezo I DID NOT SAY YOU DIDN'T! Geesh! :)		0
@imwolfbro there was no end to the line of teachers who talked about tv to me. Apparently the school is loaded with ex-tv pros.		1
@iBREathetweets_ OMG why?		0
@BeforeYouKnow_ Wh-where are you taking me?		0
@jelewil ooooooohhhhh em geee		0
@Keennnyyyy @cmccarthy12 gotta use the sarcasm font or		1
@instapundit @13013B Clinton/Farrow 2040, OR ELSE!		1
@BrookeMoore_14 Ehh I've seen better :P		1
@lemysa_ Thank youuu! ❤😘 what interview 😜		0
@meg_haswell Hey Meg. like the pic :) hope one day you can play for England. Keep working hard. x		0
@wingoz @Edwerderespn @Staff_9 and they have to face the Vikings yet		1
@Moltari @neverwintergame so don't lose need rolls so much!		1
“@TFYouLO_okingAt: I need more followers 👭😏🌈”👏👏💯		0
@CalebGarza82 lol to point out the things i do incorrectly? Oh thank you caleb i dont know what i would do without you...		1
@ravipinto ah, Silicon Valley! where zero-to-hero stories like these can flourish &amp; inspire ... *wipes tear*		0
@Corballyred who gives a shit about winning things - as long as we've got long term stability &amp; a manageable wage bill.		1
@Dannii13May Don't sweat it.(: lol		0
@JoeTheMailman @ChristiChat Wait! This was a peaceful demonstration remember?!!?		1
@trowie @scottread16 @jonno72 Haha!!! I love football just full of blind loyalty.!!		1
@fraseryukon @thornybleeder Yay! Happy to see you here, Stephen!		0
@sazzle_r &gt; concentrating on the league promotion campaign		1
having your venti cup of coffee dumped all over you, the floor, & your notes in class is a great way to wake up, @BAnneCox		1
@SimplySabrinaa its gon be okay baby fr , I got yu &lt;3 !		0
@zarrys_love I did too		0
@Cort_Dort yeah I'm gone be there hopefully I see you		0
@NeeCee_1 Thanks...but the good news is, I stayed at a Holiday Inn Express and got a new Galaxy 5s! LOL		1
@AJForDays @Skyduck64 Tyler's hair is sick tho.		1
“@sheonamelanie: Really need a new phone. UGH”		0
.@notalemming There you go again. Sharing facts instead of propaganda.		1
@RealBonkers95 oh noez, people I don't like will block me, the horror!!!		1
@Scottywester 🙀 that's my plan		0
@BigTimeBTRush @HeffronDrive @bigtimerush sure they did not buy it! They have it bc a nickelodeon show!!!!😄😄 ...		1
@BrianWGR ya but how many are quality shots Brian?		1
@ArsalanKhaliq yea, I just watched the anime ^^		0
@kcargill2016 ommmggggggg canttt waitttt!!!!		1
@jenwens Showed a performance of Rose's Turn to Rachael by Bernadette Peters and she wants to see it!!		0
@RayWJ all good things must come to an end....as do slightly mediocre things.		1
@OmarKelly can't forget that competition at QB wrecks confidence! Most important position needs to be coddled lol		1
@corcutt61 live by da gun homie.		0
@MrPoloNJs_3 you ain't bout that rib tat life		0
@ScottTaylor19 @TimRogersCLE when has drew rosenhaus ever lied?		1
@RenotAlly This is true! Par-tayyyy!! 🎉🎉🎉And I know but it's cool ill find something 2 do		1
@Em_Ay_Ex prayers up... You always get hurt a week before Reunion game		0
@PhogAdvisory Air Bud, clearly		1
@misunshan I don't think you are at all ;A; you have your reasons sweetie especially with the pressure of family problems so I don't see why		0
@EJ02DOM @BumpinGemz In a civilizd world&gt;can have GOVT run check posts between two countries but not tunnels to infiltrate ppl&gt;they got2go		0
@lovelychuckles don't you just love the life of having braces?😁		1
@MarlaOdom he's not responsible for anything to complain about.		1
@Glinner so actors, directors and producers get together and stories just happen, characters just appear? Wow they are good!		1
@ArianaGrande tell ussssss :D		0
@SethDavisHoops Jeez, Seth, sounds like you really hate K-State.		1
@BroncosTV ya... I was worried.		1
@RiggedIt that's why Schaubs a great qb!		1
@TheBrianCloney well they may only have dozens on some nights, but you're right...		1
@Softykjr Calvin Johnson. Because he's simply the best.		0
@avyyvet My thoughts exactly.		0
@gsqrd hahaha YES! How do you know of these places?!		0
@aidje @AddisonTodd really now? That is so creative!		1
@johntdrake Don't question the brand who put you on all of those flights!!!		1
@ashleyfallin27 oh good for you!!!		1
@SurajitDasgupta 1) Agree. 2.) I wouldn't bet on it. Inspite of existing Islamophobia, US Muslims realise they're way better off there.		0
@mister__cassidy like that's actually just me when I wake up		0
@beautIful_RaI go fa wat ya kno!!!!		0
@DawsonPSU10 It was all the fans' fault anyway.		1
@mscng you, too, darling! Happy studying xx		0
@SheLeadsAfrica @SwaadyML @YSWARA_luxe @FT thank you!!!		0
@shane25873 George's marriage isn't really news, but another Royal baby on the way, now that's really exciting!		1
@mleigh_bixler aiden has the movie so we get to watch it all the time yay us		1
@karenkho WOW! Gee, I wonder why he's not getting a reply? He sure sounds swell!		1
@hkilbs course you will! it's like an iPod I guess! sept, it makes phone calls?! FaceTime my daily baths 😏		0
@schwabfound good to know it is not the entire pharma industry 😀😀😀 @Wef		1
@msclaire76 @Aneets1 Wait what? Did you get tickets to see The Corrs? Awesome!		1
@DallasFed @FactTank socialist Obama!		1
@AllTimeLyd I can tell, nice shorts btw 😉		0
@rumvp Where do I sign up? I'd love to be a part of the team		0
@JohnnyJesus @CGN_Trigger I live in Nanaimo and think @DarrellBellaart should stick to the real scary shit like Waste to Energy		1
@Kerryepp @BreitbartNews But, if we follow that suggestion, how will Obama bring Hope and Change to the rest of the world?		1
@nickthompson847 @CampDalton1 I was actually scared for you guys for a min, we went to the cemetery and did it and it was so fucked up		0
@IshD1 the update is sick. Comes with a full plugin and preset editor for DAWs. Has great CC control mapping too. I'm currently		0
@haymudrick I reply instantly to people because I have no life and I'm generally always on my phone		0
@Jesuspaddy might just keep hold of him for now I'm not sure if I'm going to get into it again or what yet just thought I would try a pack		0
“@lindseyann17: Bri can't keep her men straight. Takes 2 hands to count them all. yep, I'm a player now..		1
@imacatch_oggio @mrjakestriet Lmfaoo!! Y do girls hv to do all the work		1
@WillMcAvoyACN Where is the right to clean drinking water in the Constitution??		1
@sham681 no, but got intereuppted, i'm sure i just heard everyone was ok?		0
@OhSnapIts_M haha when did you get so funny 😜		1
@Beesotted battered then		1
.@graemerice @FarmLead I would accept "I don't want to be in a tax situaiton" or "I can hold out for less" as reasons not to sell		1
@AriFleischer wait, wait, wait. Are you saying the media is overstating it?		1
@TonyBasilio Yeah, those guys that leave early have no "connection" to the schools and have ruined college hoops.		1
@forexposure_txt ooh what and opportunity!		1
“@HunterJohns1: It's hard to believe that Friday is seriously my last day ever of high school!		0
@marinelover123 well see -smiles a little-		0
@kevinmitnick yes, because the public backlash to date has been so swift, resolute and effective.		1
@hazukihomo 👍✌️😎 good good amigo		0
@jiggajayjawdan all the time but we all know I am		0
@inhurry2011 I couldn't tell bc you never call		1
@justinbieber Hi daddy. Tweet me something happy		0
“@GuillemBalague: Real Madrid have no interest whatsoever in Wayne Rooney. Zero interest.” But the English media say so		1
@guycollierphoto done, you can put the cheque in the post :-)		0
@TMZ as a Caucasian I am offended by @Ritzcrackers using the term crackers so they need change it too		1
@tunanick I feel it me and Andrew are about to hangout when I get off if you are trying to link up.		0
@mbocks78 @Vintage_Things_ not sure yet but seems quicker, new laptop with Windows 8 possibly also a factor		0
@20committee @IngjerdRA I would guess that he gained it all during his planning days at the DoS. Gotta love those guys.		1
@kaylaoncorn Red Sox Yankees is the greatest of everything!		1
@maddysonxoxo at the game? Yes!		0
@czimmer17 oh, that's weird.		1
@TheDrake810WHB I believe that the members of @theprogramkc have more speed than the current 3 runners that @Royals have on base.		1
@AtheistEngineer @Qooraan1 @RetireInReutte Well that's time I can never get back. Please collect ur Nobel Prize.		1
@HAMMER32 I'm more about Walking Dead then Talking Dead anyway. And maybe those fuckers might actually find Bigfoot.		1
@StLPiratesPitch so wait you have to hit to win baseball games too?		1
@Brandieatsdicks hahaha no that the morgues. Forensic coroner does CSI shit. Find causes of death, does autopsies on the bodies.		0
@CheapyD Amazed that they have a thing after that AMAZING Nintendo Direct earlier.		1
@_unzipMyCARGOS , you better not be fav.		0
@TelegraphNews And money wasted by the NHS will exceed money saved on disabled benefits. @GOVUK doing a cracking job		1
@_AsvpAkers thank you soo much!		0
@MichelleDBeadle @JPiz1 @jadande @RealJayWilliams isn't this some kind of NCAA violation?		1
@FethawitM it just ended 😩		0
@Bucket826 ha! Nice.		1
@JGreenDC I'm asking you to weigh in the benefits of an effective bureaucracy in such a proposal. That seems modest to me.		0
@kath_ebooks thank you &lt;3		0
@KannaBlade Wait, you were on Facebook?		1
@WinstonCupFan the Most Popular Driver award is nothing but a friggin popularity contest.		1
@AndyMarkle And there we are! You don't want to talk to someone that you disagree with. You are going to be a GREAT legislator		1
@MeanTXLawyer @TinkerSec powerpoint, huh. How novel. 		0
@BuddyTheGoon24 players do not have emotions or feelings, and are perfect roll models at all times.		1
@adidassoccer @MLS So our American soccer league has a ball named with a Spanish word that English means native? Muy Bueno👏👏		1
@RacePAguy Be the Gold Racer!		1
@AshGhebranious Yup, he a1 double plus good PM material		1
@OmarKelly Fede is a 7th rounder. Aren't all 7th rounders tremendous athletes?		1
@rachicles @festivalnumber6 Thank you :) xx		0
“@tgmc_: I think I was born a send off.” I agree 👌		0
@R_GiggsyUtd you must hear scouses say what I just said all the time		1
@juliebosman You're a horrible tragedy.		0
@iBeRobyn @DJFreshery you right. Idk him like that. Sorry Taco Swayze😁		0
@darkdraym 2 but I doubt it		0
@LaraSexton Yeah. How many of you can say you've being fingered by J.B every night! That's what I thought bitches.		0
@MikeZhe603 This just in: NESN has refused to air any non-Boston team games in the HE final 4.		1
@MagicJohnson @barackobama @vj44 bet everyone there came away smarter		1
@aphillips6767 @searscares I'm sure your case manager is running down to get his refrigerator to bring to your house.		1
@madib1017 okay you are my chosen one 💃		0
@PatVPeters no, more like enter the crosshairs of a mil-dot reticle(relax NSA, I'm talking about a high powered "camera lens"!Lol)		1
@THR Shocking.		1
@fabinsanity surely by your own logic, you would have had to have lived their lives to possibly know what they know?		0
@13Ways_ToLive -- his famous spangly uniform and seeing his adorable reaction also wanted to keep his role. "I know we rushed things --		0
@emmabexon Emma they are so you!		0
According to the article, about 18,000 people will lose their jobs over the course of next year. Yup, that's totally not depressing.		1
@adamteicher whew!		1
@CarolynIvonne Thats the only good thing about going, getting to see you.		0
@mrawolf Oh wow, that is just fantastic!		0
@wyshynski nice that his teammates stood up for him.		1
@chowren we are better than I thought!		1
@darrencowell @TorbayCA @torbaymayor always a good idea to have a knee-jerk vote in this siutation		1
@_BowlofCherries @smh @albericie I'll join you. Yeaaaaaaah! More gambling in NSW!!! Woot!		1
@tnb_xxxo She seriously looked like you man, at least you know I care enough to stop :P		0
@neiltyson I disagree with that because I am correct		1
@DezHardaway I've been super busy lately but I'll do better sorry		0
@laubags Taking a knee? Definitely wasn't a factor in yesterday's Packer game. Rodgers prefers taking snaps in the end-zone.		1
@Alanys33 thank you, hope you have a good day too Alanys!		0
@NickCaminoWTAM wonder if anyone will cheer big G		1
@RuPaulsDragRace herstory, not history ?? I'm offended...quick call @logotv		1
@brandon_binder @KarlaK_57 UTB gives pens 😱 now i HAVE to go there!		1
“@thehill: Trump: If I were president, US would be in ‘a lot better shape’  Yeah Right		1
@chriswall9981 @lupash7 @_CFJ_ oh sure, cloud the argument with FACTS!! You RACIST!!!!		1
@wyche89 @RealDuality @NFL_AM Yeah, your initial tweet was REALLY boorish.		1
@shainalieb shut your whore mouth		0
@WebsiteAngel @clearmindsTeam Cool! Every time I include ?		0
“@Real_ESPNLeBrun: Kane upstairs on the rebound and it's 2-0. and bedlam in here” --he is fairly decent as a player.		1
@fessdoc Well done Phil. Now, SPOIL YOURSELF!		0
@jessicapetty84 @dechivette thanks babe!		1
@CNN peak its energy by 2030? So, basically, they just do what they want for 15 years while they switch to green sources? Great.		1
@WoIfen You wont tie my shoes? I guess we cant be friends then!		1
@ESPNAndyKatz But how can we trust you now?		1
@andrew_leach Not surprised, given your ancient views on the "climate change" fallacy. The future belongs to shiny (buried) steel.		1
@NumbersUSA @Jim_Peoples_ Well isn't that nice of him? While raising cost of living for citizens .... Great leadership &amp; unifying		1
@Metalosphy666 Everyone loves Daryl for a reason, he's just SO AWESOME! I saw Norman Reedus long ago in 'The Boondock Saints,' watched it?		0
@Totalbiscuit B-b-but that filmic look!		1
“@Brettyboi2010: @JordanSotiris she would deffo get a bit” most definitely 😏		0
@bsimo85 There's no need to be like that, we still have Watch Dogs, Wolfenstein, and Far Cry 4 to play dude :)		1
@KittyKatastrofe we just talked about it. We are now. Let's go! @aliciaaristocat @NeelzBaby @Deeee_DoubleYou @KylerCB_ Day of the Dead. 😃😈🌀		0
@_WCSR @MsTKIndeed @LostboxUK poss stolen &amp; dumped ? @DoglostUK @MissingPetsGB @petdetectivesuk		0
@DianaTW_NS what was it.. Victoria hitting miguel? Omg never expected that to happen		1
@landriewalker @lisaxspencer are you grapes cotton candy flavored ??		0
@SohumH But Linear Algebra is the easiest course that colleges offer.		1
@Cemeditaaa I think I did		0
@thatalexyarde @MMFlint @BelisaReyna I guess the answer would be put more planes full of people in the air?		1
@BlackNerdJade you have a black president so stop complaining.		1
@Clarisssssag thanks beb, together we need to win a championship 💪🏆💕		0
@_lukejames @simonjourno @AbigailBenaud @brad_mcnicol definitely not the same		1
@ATVIAssist Thanks for the timely response...		1
